tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
ztf,60872.377175900154,3118377175015015014,3,3118377175015,19.124315,1,3118,1.7243687,18.549368,18.5855,0.13127548,0.2703,332.5443442,-7.6500313,0.91571426,t17_f5_c3,0.99973613,18.721,0.3929,391120350.0,True,False,False,27.5.6,0.0,,,,
ztf,60872.416759300046,3118416755015015008,2,3118416755015,19.17492,1,3118,1.4945116,17.714834,17.682,0.06571994,0.0929,332.5443126,-7.650064,0.9357143,t17_f5_c3,0.99999917,17.7775,0.1299,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60873.30128470017,3119301285015015014,2,3119301285015,19.35616,1,3119,1.50157,17.793701,17.8299,0.07817888,0.1106,332.5442969,-7.6500171,0.86142856,t17_f5_c3,0.99914515,17.9237,0.1542,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60873.302233799826,3119302235015015017,2,3119302235015,19.211418,1,3119,1.4557934,17.801092,18.0597,0.0786278,0.1452,332.544298,-7.6500548,0.9071429,t17_f5_c3,0.9998641,18.0598,0.186,391120250.0,True,False,False,27.5.6,0.0,,,,
ztf,60873.359224500135,3119359225015015013,3,3119359225015,19.324348,1,3119,1.8052477,18.664755,18.3068,0.13024087,0.1833,332.5443637,-7.650018,0.6528571,t17_f5_c3,0.7162652,18.2258,0.2177,391120350.0,True,False,False,27.5.6,0.0,,,,
ztf,60873.38520829985,3119385205015015010,1,3119385205015,19.370144,1,3119,1.3293886,17.639927,17.5958,0.057422847,0.0787,332.5443042,-7.6500491,0.9614286,t17_f5_c3,1.0,17.5561,0.097,391120150.0,True,True,False,27.5.6,0.0,,17.447834,0.04742328,0.048111375
ztf,60873.386157399975,3119386155015015014,1,3119386155015,19.428286,1,3119,1.391237,17.669518,17.696,0.06223492,0.0795,332.54432,-7.6500412,0.95857143,t17_f5_c3,1.0,17.7317,0.1048,391120150.0,True,True,True,27.5.6,0.0,,17.472572,0.051243596,0.05191057
ztf,60873.39641200006,3119396415015015014,1,3119396415015,19.450212,1,3119,1.3876892,17.668232,17.795,0.07150297,0.0893,332.5443208,-7.6500466,0.95428574,t17_f5_c3,0.9999995,17.8848,0.124,391120150.0,True,True,True,27.5.6,0.0,,17.471498,0.059074476,0.059652824
ztf,60875.319618099835,3121319615015015026,3,3121319615015,19.656263,1,3121,1.6326416,18.95079,18.8324,0.107238114,0.1885,332.5443279,-7.650063,0.8971428,t17_f5_c3,0.99999297,19.0045,0.2818,391120350.0,True,False,False,27.5.6,0.0,,,,
ztf,60875.369953699876,3121369955015015021,2,3121369955015,20.35062,1,3121,1.5479364,17.938509,17.9777,0.06684867,0.047,332.5443191,-7.6500406,0.92,t17_f5_c3,0.9999677,17.9431,0.0572,391120250.0,True,False,False,27.5.6,0.0,,,,
